instances,feature_CL,feature_TD_P,feature_LSC,feature_DCP,feature_CLD,feature_N2,feature_TD_U,feature_LSR,feature_Usefulness,feature_kDN,feature_DS,feature_Harmfulness,feature_N1,algo_random_forest
13,7.64916663342774e-09,0.25,0.0,0.0,7.649164635026295e-09,0.08478311296682906,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
14,3.5499009663486625e-05,1.0,0.48484848484848486,0.0,3.549900966332009e-05,0.14739884393063585,1.0,0.5218247076531203,0.5294117647058824,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
15,0.011023555510479066,1.0,0.8181818181818181,0.0,0.0110235555104794,0.13084112149532712,1.0,0.6103846642122636,0.6470588235294117,0.0,0.08823529411764708,0.029411764705882353,0.5,0.07145896398214498
16,0.4827997124980882,1.0,0.9393939393939394,0.0,0.48279971249808795,0.48174897520983806,1.0,0.7745222929936305,0.9411764705882353,0.4,0.08823529411764708,0.08823529411764706,0.0,0.03053672386008165
17,2.7077664555008596e-09,0.25,0.0,0.0,2.7077659559004985e-09,0.1071598477640342,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
18,0.01247931849378725,0.5,0.8235294117647058,0.0,0.012479318493787417,0.320905172413793,0.5,0.7358759430008381,0.8571428571428572,0.0,0.11764705882352944,0.0,0.0,0.08167803101426724
19,0.013247050753689149,1.0,0.8181818181818181,0.0,0.013247050753689149,0.15053763440860224,1.0,0.687372586641084,0.5588235294117647,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
20,6.915243726535181e-07,0.25,0.1470588235294118,0.0,6.915243688787598e-07,0.13033629552186798,0.25,0.3145172366433182,0.02857142857142858,0.0,0.0,0.0,0.0,9.992007221626415e-16
21,0.00032168986266545296,1.0,0.3939393939393939,0.0,0.0003216898626655085,0.250787766450417,1.0,0.4145422943221321,0.5588235294117647,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
22,3.3381329145321104e-08,0.25,0.11764705882352944,0.0,3.338132897878765e-08,0.11530753815322947,0.25,0.2852160916677048,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
23,1.3391498500325838e-05,1.0,0.18181818181818177,0.0,1.3391498500769927e-05,0.17647058823529405,1.0,0.2972755334854381,0.6470588235294117,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
24,0.08464130241981482,1.0,1.0,0.0,0.0846413024198151,0.5865522174535049,1.0,0.8379863213364727,0.8529411764705882,0.6,0.08823529411764708,0.029411764705882353,1.0,0.6097655716208943
25,4.166204359279391e-08,0.25,0.05882352941176472,0.0,4.1662043037682395e-08,0.0,0.25,0.21725944306589473,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
26,1.8740685225893117e-08,0.25,0.11764705882352944,0.0,1.8740685170381965e-08,0.1850677743769129,0.25,0.2349923037455104,0.22857142857142854,0.0,0.0,0.0,0.0,9.992007221626415e-16
27,4.505414702205002e-05,1.0,0.5454545454545454,0.0,4.505414702216104e-05,0.1575811079231958,1.0,0.5182380411460306,0.5882352941176471,0.0,0.08823529411764708,0.0,0.0,0.0228146777661714
28,0.9645400411739866,1.0,1.0,0.0,0.9645400411739866,0.5142894771500066,1.0,0.7763221737020863,1.0,0.8,1.0,0.11428571428571428,1.0,1.9810014688665833
29,9.997796113214719e-07,0.25,0.02941176470588236,0.0,9.997795303307022e-07,0.1422809457579972,0.25,0.13482042648709314,0.05714285714285716,0.0,0.0,0.0,0.0,0.04000533461369913
30,3.013819987884858e-05,1.0,0.2727272727272727,0.0,3.0138199878682048e-05,0.10930279284709665,1.0,0.3882986063198566,0.6470588235294117,0.0,0.08823529411764708,0.0,0.0,0.04000533461369913
31,2.3977504773897707e-05,1.0,0.7575757575757576,0.0,2.3885746831209254e-05,0.1258023106546855,1.0,0.6569269521410579,0.7058823529411764,0.0,0.08823529411764708,0.6470588235294118,0.0,0.1941560144409575
32,8.723577981095687e-07,0.5,0.7647058823529411,0.0,8.723577982761022e-07,0.3609958506224067,0.5,0.7243049705139006,0.5142857142857142,0.0,0.11764705882352944,0.0,0.0,0.03878602503515642
33,1.196140775316934e-08,0.25,0.02941176470588236,0.0,1.196140775316934e-08,0.08279117234341105,0.25,0.10705414803775459,0.02857142857142858,0.0,0.0,0.0,0.0,9.992007221626415e-16
34,0.02259726731642886,0.5,0.9117647058823529,0.0,0.022597267316428804,0.0,0.5,0.8660465116279069,0.8285714285714285,0.2,0.11764705882352944,0.02857142857142857,0.3333333333333333,0.060624621816434854
35,0.0016533025904252874,0.5,0.9117647058823529,0.0,0.0016533025904253429,0.46905244204366414,0.5,0.7268727567442399,0.4,0.2,0.11764705882352944,0.0,0.0,0.005449604767564703
36,1.826447415531618e-08,0.5,0.5294117647058824,0.0,1.826447376673812e-08,0.11342332208473949,0.5,0.5925734470578099,0.4571428571428572,0.0,0.11764705882352944,0.0,0.0,0.011560822401075971
37,0.00033624058445924643,0.5,0.9117647058823529,0.0,0.00033624058445880234,0.4561173123221711,0.5,0.7113821138211383,0.4285714285714286,0.2,0.11764705882352944,0.02857142857142857,0.0,0.04616204176316249
38,8.026989413156826e-07,1.0,0.36363636363636365,0.0,7.316798049661344e-07,0.2110853874438241,1.0,0.36764545355310563,0.5882352941176471,0.0,0.08823529411764708,0.35294117647058826,0.0,0.011560822401075971
39,0.0020479026023492164,1.0,0.8484848484848485,0.0,0.0020479026023488833,0.32150130928135,1.0,0.7096613545816732,0.6176470588235294,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
40,2.235745255596555e-08,0.25,0.0,0.0,2.2357451057164468e-08,0.06882591093117407,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
41,0.010153454438541765,1.0,0.7272727272727273,0.0,0.01015345443854182,0.2879103699843669,1.0,0.7191450005138218,0.6176470588235294,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
42,1.0229463830113694e-05,0.25,0.9117647058823529,0.0,1.0229463820121687e-05,0.4604169505382204,0.25,0.6285178236397748,0.3142857142857143,0.2,0.0,0.08571428571428572,0.5,0.06164416311120672
43,0.08695789281383104,1.0,0.8787878787878788,0.0,0.08695789281383104,0.4284933005195515,1.0,0.8025321239606954,0.8823529411764706,0.2,0.08823529411764708,0.0,0.0,0.023256862164267235
44,2.345632110767326e-08,0.25,0.0,0.0,2.34563206080729e-08,0.08945554789800148,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
