instances,feature_kDN,feature_DS,feature_CL,feature_CLD,feature_N2,feature_LSR,feature_Usefulness,feature_F2,feature_F3,feature_F4,algo_bagging,algo_gaussian_nb,algo_gradient_boosting,algo_logistic_regression,algo_random_forest,algo_svc_linear,algo_svc_rbf
43,0.0,0.0,2.5617720417758783e-05,2.5617720417758783e-05,0.07238751451709624,0.35743821909519635,0.9142259414225942,0.5368669280180967,0.5750123728605101,0.6131578177029234,9.992007221626415e-16,2.7813196247430598e-05,0.003708679143567123,7.733840256856244e-05,9.992007221626415e-16,0.07417783529518923,0.06819671044543366
44,0.4,0.9759615384615384,0.3661223700137247,0.36612237001372466,0.5956948333591932,0.014482739830911308,0.997907949790795,0.7699551672383238,0.8546466448313377,0.9393381224243514,1.0601317681000455,0.5133940644389247,0.04083970889158593,0.5057091375817311,0.5234845277581356,0.42633096622847805,0.33827807913445196
45,0.0,0.0,0.009080097488140648,0.009080097488140648,0.044520521269846736,0.15536150014222272,0.805439330543933,0.6758438505212163,0.7238008194429952,0.7717577883647742,9.992007221626415e-16,0.011596211715741635,0.004968364168632753,0.014882393120416986,0.005025167926751225,0.01239038352042948,0.014283112808657919
46,0.0,0.0,0.0001212558701341182,0.00012125587013406269,0.0802062887583409,0.3311179638477783,0.9058577405857741,0.5272433302869945,0.629889591109541,0.7325358519320874,9.992007221626415e-16,0.00010816668019894274,0.004350949394385413,0.0003366536607296561,9.992007221626415e-16,0.059062429848177805,0.06512524633055422
47,0.0,0.8365384615384616,0.06913114964359346,0.06913114964359346,0.3018161571708404,0.06312400373390312,0.9808429118773946,0.8965873095623688,0.9381317458051548,0.9796761820479407,9.992007221626415e-16,0.06347442097504853,0.03461242555252282,0.07319659118926891,0.030512350918887314,0.03283516098976777,0.03249412116843946
48,0.0,0.028846153846153855,0.0032497932990850353,0.0032497932990851464,0.09186681951318343,0.14324290985264534,0.7854406130268199,0.7594208679394727,0.782007487383282,0.8045941068270912,9.992007221626415e-16,0.0027623586109031205,0.009287540867268558,0.003874954421023523,9.992007221626415e-16,0.037886710290738215,0.056619144051322436
49,1.0,1.0,0.9915876718612144,0.9915876718612144,0.9262183741829754,0.00734775179438217,1.0,0.7085494002763139,0.7124721159408348,0.7163948316053558,34.538776394910684,4.970873726594729,5.421365778943628,4.307152029527687,19.57197329044939,3.5608152275120055,4.005251490211819
50,0.0,0.028846153846153855,0.0005979932152698764,0.0005979932152699319,0.05131297353369568,0.21914018291353018,0.8601532567049809,0.6889062061387351,0.7185527236508479,0.7481992411629607,9.992007221626415e-16,0.0004611529504592272,0.0066065816266824414,0.0008708425900186024,0.005025167926751225,0.08182463492959585,0.07774824434812172
51,0.0,0.0,0.09145468427552494,0.09145468427552494,0.26451321693098295,0.0766750478188258,0.8744769874476988,0.7063596750676655,0.8350559363933835,0.9637521977191015,9.992007221626415e-16,0.11347682314181086,0.021284308746792602,0.1300021605734223,0.010101353658760233,0.04223598125978488,0.03392451737297833
52,0.0,0.7980769230769231,0.0006093103023632196,0.0006093103023632751,0.1759976510392397,0.2960407225748623,0.9205020920502092,0.5163214540067274,0.6509093382681537,0.78549722252958,9.992007221626415e-16,0.0005454027919165193,0.022199708420451623,0.001199463641915329,9.992007221626415e-16,0.07767207184296662,0.062058389148715115
53,0.0,0.625,0.00741663936744541,0.007416639367445355,0.3076787262281466,0.05126762758399626,0.7866108786610879,0.6851489592495332,0.7071359523799698,0.7291229455104065,9.992007221626415e-16,0.007952590425250221,0.007603812536000443,0.012489021126190204,0.005025167926751225,0.039243990737258594,0.02724057925170119
54,0.0,0.028846153846153855,0.006245237072834087,0.006245237072834142,0.14167554033446728,0.12900333242600764,0.8371647509578544,0.749164954214344,0.8115636864860927,0.8739624187578413,9.992007221626415e-16,0.00527568423748425,0.014668465927593143,0.009185832361185201,9.992007221626415e-16,0.037903553969854925,0.03587964549251192
55,0.0,0.028846153846153855,0.00051889689536877,0.00051889689536877,0.0518018210980461,0.21441883403551568,0.8601532567049809,0.6831273922520354,0.7137175873733241,0.7443077824946128,9.992007221626415e-16,0.0005472661920264943,0.006663966565227841,0.0007409450720894158,9.992007221626415e-16,0.08213894859787269,0.09362371043444509
56,0.0,0.8798076923076923,0.0034201332991429245,0.0034201332991429245,0.09269338837483854,0.139372968860635,0.8735632183908046,0.6922532981931824,0.8046932355370765,0.9171331728809706,9.992007221626415e-16,0.0034841183184113693,0.009327455323953938,0.003729714979048883,0.005025167926751225,0.06090333293825686,0.062281737530809095
57,0.0,0.0,0.0024164677196518713,0.002416467719651816,0.09519012724511033,0.1543841725379302,0.7343096234309623,0.6384130434055495,0.6831333060212808,0.727853568637012,9.992007221626415e-16,0.002526057683305722,0.005013123161240374,0.0047061120562781,9.992007221626415e-16,0.02984617254604776,0.024774627627527232
58,0.0,0.0,0.05064265108682464,0.05064265108682464,0.12781886847185153,0.09244540430788849,0.8723849372384938,0.6447687728157491,0.8019934550795867,0.9592181373434244,9.992007221626415e-16,0.06038851718213767,0.004348065931695829,0.0773780758996703,0.010101353658760233,0.02018657278470493,0.02294934829767105
59,0.0,0.028846153846153855,0.002332479010983435,0.002332479010983435,0.08816198768607897,0.16750200051669856,0.8237547892720307,0.74039549588998,0.7716757653128092,0.8029560347356384,9.992007221626415e-16,0.0018880311192140216,0.007085989949269298,0.003091490677225089,9.992007221626415e-16,0.05591224354687441,0.059088797790516887
