instances,feature_Usefulness,algo_random_forest
241,0.9737226277372263,0.040821994520255166
242,0.9211678832116789,0.030459207484708574
243,1.0,1.0498221244986778
244,0.927007299270073,0.01005033585350145
245,0.9956204379562044,0.31471074483970024
246,1.0,0.5621189181535413
247,0.8671532846715329,0.01005033585350145
248,0.9985401459854014,0.06187540371808753
249,0.9911504424778761,0.2744368457017603
250,0.9956204379562044,0.21072103131565253
251,0.9357664233576642,0.01005033585350145
252,1.0,0.8675005677047231
253,0.995575221238938,0.4307829160924542
254,0.9911504424778761,0.6539264674066639
255,1.0,0.941608539858445
256,1.0,1.4271163556401458
257,1.0,0.527632742082372
258,0.962043795620438,0.01005033585350145
259,0.9911504424778761,0.23572233352106983
260,0.997080291970803,0.21072103131565253
261,1.0,1.9661128563728327
262,0.9007299270072993,0.01005033585350145
263,0.92992700729927,0.030459207484708574
264,0.962043795620438,0.09431067947124129
265,0.9912408759124087,0.21072103131565253
266,0.995575221238938,0.5108256237659907
267,0.9956204379562044,0.06187540371808753
268,1.0,0.5447271754416722
269,1.0,1.1086626245216111
270,0.995575221238938,0.19845093872383832
271,0.995575221238938,1.1086626245216111
272,0.9824817518248176,0.1743533871447778
273,1.0,0.4462871026284195
274,0.9911504424778761,0.4942963218147801
275,0.9823008849557522,0.342490308946776
276,0.9911504424778761,0.9675840262617056
277,0.8277372262773722,0.020202707317519466
278,0.9941605839416059,0.2876820724517809
279,0.995575221238938,0.4307829160924542
280,0.9956204379562044,0.11653381625595151
281,0.9883211678832117,0.15082288973458366
282,0.9927007299270073,0.3011050927839216
283,0.9911504424778761,1.0216512475319814
284,1.0,0.5621189181535413
285,0.9985401459854014,1.4696759700589417
286,0.8175182481751825,9.992007221626415e-16
287,0.927007299270073,9.992007221626415e-16
288,0.9781021897810219,0.18632957819149348
289,0.8715328467153285,0.020202707317519466
290,0.995575221238938,0.2484613592984996
291,0.9985401459854014,0.37106368139083207
292,0.995575221238938,0.2484613592984996
293,0.997080291970803,0.7339691750802004
294,0.9781021897810219,0.040821994520255166
295,0.997080291970803,0.843970070294529
296,0.8788321167883212,0.01005033585350145
297,0.9795620437956204,0.16251892949777494
298,0.9357664233576642,9.992007221626415e-16
299,0.9883211678832117,0.12783337150988489
300,0.8189781021897811,9.992007221626415e-16
301,0.8540145985401459,9.992007221626415e-16
302,0.9737226277372263,0.12783337150988489
303,0.9941605839416059,0.11653381625595151
304,0.9985401459854014,0.3285040669720361
305,0.9985401459854014,0.616186139423817
306,0.9985401459854014,0.9942522733438669
307,0.9795620437956204,0.01005033585350145
308,0.997080291970803,0.3011050927839216
309,1.0,0.616186139423817
310,0.9401459854014599,0.030459207484708574
311,0.9985401459854014,0.3011050927839216
