accuracy_history,f1_history,auc_history,package,time_elapsed,classifier,sample_size,Strategy,dataset
"[0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356, 0.36088709677419356]","[0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258, 0.21760020751247258]","[0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281, 0.6388284027059281]",modAL,0.06667129099969316,NB,0.0016,Uncertain Sampling,60_waveform-5000
"[0.5292338709677419, 0.39314516129032256, 0.3971774193548387, 0.34475806451612906, 0.36794354838709675, 0.3850806451612903, 0.46774193548387094, 0.3649193548387097, 0.4838709677419355, 0.3810483870967742]","[0.4331996302872891, 0.3221241882252741, 0.3015721426316719, 0.19427055276845026, 0.25921579685945717, 0.279254047321378, 0.3815371214794481, 0.2316317323613238, 0.3891058355451112, 0.2556774911614589]","[0.7211812634996162, 0.5806011623122305, 0.6969347559710178, 0.5442447868081352, 0.5488565858700516, 0.569329811741788, 0.6600785993530627, 0.5865547894205492, 0.6985657376641036, 0.5751536023531478]",modAL,0.07932499300022755,NB,0.016,Random Sampling,60_waveform-5000
"[0.5365111561866126, 0.7255102040816327, 0.7351129363449692, 0.7675619834710744, 0.7993762993762994, 0.8138075313807531, 0.8136842105263158, 0.774364406779661, 0.7867803837953091, 0.8122317596566524]","[0.44797638672581175, 0.7228444105820875, 0.7351359325725858, 0.7654894813196262, 0.7935989323053017, 0.8107308760021811, 0.8131121107910045, 0.771358738593174, 0.7839784814042284, 0.8069949334835401]","[0.8598411387795974, 0.898588553002638, 0.9077116494391091, 0.9261513065124631, 0.9500619997585054, 0.9556568810833019, 0.9579919231754268, 0.9274835885386006, 0.9370612363544089, 0.9499811439618048]",modAL,0.37484363699968526,NB,0.028,Query by Committee,60_waveform-5000
"[0.3800403225806452, 0.524822695035461, 0.5244399185336049, 0.5752302968270215, 0.6100823045267489, 0.6184074457083765, 0.6195426195426196, 0.6185997910135841, 0.7836134453781513, 0.7845828933474129]","[0.2539616506565714, 0.41271907906172584, 0.4125470270112371, 0.46294890324455235, 0.5719898168593542, 0.5934862322043789, 0.5944693672146929, 0.593374231786356, 0.7699007262723094, 0.7710326578784548]","[0.5827448553474495, 0.6881627758152364, 0.6881141147120794, 0.790040630759294, 0.8251326364403598, 0.8256165608379913, 0.8264664483722202, 0.8268105237604862, 0.904144482721639, 0.9042751082676393]",modAL,0.08563662199958344,NB,0.0066,Expected Model Change,60_waveform-5000
"[0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871, 0.5030241935483871]","[0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037, 0.418963365454037]","[0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436, 0.6783755820907436]",modAL,0.06645521399968857,NB,0.0016,Uncertain Sampling,60_waveform-5000
"[0.5020161290322581, 0.4163306451612903, 0.3699596774193548, 0.4435483870967742, 0.4163306451612903, 0.3951612903225806, 0.3659274193548387, 0.532258064516129, 0.3790322580645161, 0.47580645161290325]","[0.4073208518320325, 0.3278864645410866, 0.24534473836816156, 0.3469268602070185, 0.3394630698247628, 0.28379801801446053, 0.22617503413883555, 0.4298604700124916, 0.2683008689562258, 0.3860150679142584]","[0.6618302605450352, 0.5675667390959852, 0.6043809978996855, 0.6516715930619348, 0.6707107073869992, 0.5804365009637359, 0.5881908128695146, 0.6786687079355089, 0.6520456954041316, 0.638135699341784]",modAL,0.08344605399997818,NB,0.016,Random Sampling,60_waveform-5000
"[0.36105476673427994, 0.5693877551020409, 0.7012320328542094, 0.7386363636363636, 0.7245322245322245, 0.75, 0.7642105263157895, 0.7680084745762712, 0.7835820895522388, 0.8015021459227468]","[0.22831572469364972, 0.5130183539522556, 0.6676805834111906, 0.7250846518445312, 0.7045568584509649, 0.7456160620723801, 0.7617311752248638, 0.763675842333539, 0.7778021467832194, 0.7978693314785025]","[0.8093715557377117, 0.8352403529990238, 0.8869735593366043, 0.9184871781402726, 0.9265669209977234, 0.9193336452582801, 0.9286250705025754, 0.9330736643453098, 0.9462581371895377, 0.956224861923381]",modAL,0.3838592210004208,NB,0.028,Query by Committee,60_waveform-5000
"[0.4808467741935484, 0.5673758865248227, 0.6476578411405295, 0.6827021494370522, 0.7242798353909465, 0.7580144777662875, 0.7588357588357588, 0.7722048066875653, 0.7720588235294118, 0.7888067581837381]","[0.37933276958886586, 0.5198525083150853, 0.6452527544673341, 0.6729227540803121, 0.7200795419763519, 0.7544464673695059, 0.7554340456222381, 0.7704087183221188, 0.7698815075584559, 0.7885079224099301]","[0.6535405453871656, 0.7960113218262741, 0.8720810768081115, 0.8771259446461068, 0.8999616129633108, 0.9225496054683541, 0.9226860065493822, 0.9284701653328027, 0.9320965604938201, 0.9333726477111821]",modAL,0.08268491600028938,NB,0.0096,Expected Model Change,60_waveform-5000
"[0.6199596774193549, 0.5897177419354839, 0.6844758064516129, 0.5776209677419355, 0.5715725806451613, 0.6129032258064516, 0.6129032258064516, 0.6139112903225806, 0.5836693548387096, 0.6381048387096774]","[0.6149514613108304, 0.5819580180587542, 0.6730882274687253, 0.5175842965753865, 0.49539788676606195, 0.5614082684861147, 0.5614082684861147, 0.5542754184102077, 0.49657841520143925, 0.5919606509153457]","[0.8365602976191573, 0.8190105359816323, 0.8437576635887045, 0.8423931649993799, 0.8400199294213908, 0.8636001861009794, 0.8636001861009794, 0.8781932737879983, 0.8802254596418345, 0.8945749519553883]",modAL,1.2802187529996445,RF,0.0096,Uncertain Sampling,60_waveform-5000
"[0.6058467741935484, 0.6048387096774194, 0.6723790322580645, 0.6018145161290323, 0.5080645161290323, 0.5977822580645161, 0.7036290322580645, 0.5836693548387096, 0.7147177419354839, 0.5776209677419355]","[0.6074602716103576, 0.5945471326114361, 0.663152054877378, 0.5844697837169047, 0.49769105466601404, 0.5856293867097454, 0.6926473040681288, 0.5807663835234084, 0.7122487935613422, 0.5741179687500065]","[0.8022210270944983, 0.8167503287575965, 0.8564947336125132, 0.7820621867308202, 0.7627118297167035, 0.8048728164083452, 0.9130974592328289, 0.8060297299732324, 0.8800982161966872, 0.8679080744726517]",modAL,1.2992924500003937,RF,0.016,Random Sampling,60_waveform-5000
"[0.6531440162271805, 0.6602040816326531, 0.7607802874743327, 0.8119834710743802, 0.8035343035343036, 0.7813807531380753, 0.8189473684210526, 0.7913135593220338, 0.8486140724946695, 0.8326180257510729]","[0.6043939863111502, 0.649330318229625, 0.7542629720374815, 0.8118863689609713, 0.8036162947152292, 0.780799524766297, 0.8182317055101329, 0.7842078122991819, 0.8477279833950361, 0.8336857131653841]","[0.9070141080316273, 0.9194507706938662, 0.9363966064835667, 0.9470847922583653, 0.9442854012207014, 0.9238591432101197, 0.9443198470101727, 0.9365705579921008, 0.9616784745138118, 0.9574861152896761]",modAL,14.903027719999955,RF,0.028,Query by Committee,60_waveform-5000
"[0.5997983870967742, 0.7102330293819655, 0.7107942973523421, 0.7349027635619243, 0.7767489711934157, 0.7880041365046536, 0.7889812889812889, 0.7889237199582028, 0.7909663865546218, 0.791974656810982]","[0.567479681927144, 0.7062688632429195, 0.7069050815083654, 0.7324890006366546, 0.7782088187193119, 0.7796783526546381, 0.7808822949782342, 0.7807999195182146, 0.7872995576566948, 0.7884330622521802]","[0.8365297055598783, 0.8818085395286255, 0.8823766608538606, 0.9027516591508485, 0.9305887810809325, 0.9275594289861813, 0.9281009270190501, 0.9289884548843496, 0.9298540001120295, 0.9316308914883862]",modAL,1.5813059590000194,RF,0.0066,Expected Model Change,60_waveform-5000
